Screen ID,Destinations,Destination Count
PRE-116,"Oak Grove, South Station, Andrew (Limited Stops), Kenmore via South Bay Center, Ruggles, Kenmore, Park St & Tremont St, Broadway, Forest Hills, Forge Park/495, Needham Heights, Wickford Junction, Stoughton, Avenue Louis Pasteur (Limited Stops), Beth Israel (Limited Stops), Harbor Point via South Bay Center, Fields Corner, Ashmont, Mattapan, Jackson Square, Franklin Park, Central Square, Assembly",23
MUL-135,"Quincy Center via North Quincy, Weymouth Landing via Quincy Ave, Weymouth Landing via Southern Artery, Quincy Center via Southern Artery, Quincy Center via Quincy Ave, South Shore Plaza, Quincy Center, Mattapan, Houghs Neck via Germantown, Ashmont, Montello, Holbrook/Randolph, Hingham Depot via Shipyard, Quincy Center via Shipyard, Washington St & Pleasant St Weymouth, East Weymouth, Fields Corner, Squantum, Ashmont via North Quincy",19
TEST-Salem,"North Station, Neptune Towers, Haymarket, Salem Depot via Cabot St, Salem Depot via Tozer Rd & Cummings, Wonderland via Central Square, Central Square",7
PRE-181,"Alewife, South Station, Braintree, Ashmont, Logan Airport, Design Center, Chelsea, Silver Line Way, Readville, Fall River, New Bedford, Worcester, Forge Park/495, Foxboro, Greenbush, Kingston, Needham Heights, Wickford Junction, Stoughton, Hyannis",20
TPS-117,"Salem Depot via Central Square, Wonderland via Central Square, Newburyport, Rockport, North Station, Salem Depot, Neptune Towers, Haymarket, North Beverly via Tozer Rd, North Beverly via Cabot St, Salem Depot via Cabot St, Salem Depot via Tozer Rd & Cummings, Central Square",13
MUL-120,"Braintree, Ashmont, Alewife, Avenue Louis Pasteur (Limited Stops), Beth Israel (Limited Stops), Andrew (Limited Stops), City Point via South Bay Center, Arlington via South Bay Center, Forest Hills via South Bay Center, Andrew via South Bay Center, Fields Corner, Andrew, Logan Airport via Andrew",13
PRE-171,"Boston College, Cleveland Circle, Riverside, Heath Street, Government Center, Union Square, Medford/Tufts",7
MUL-141,"Mystic Mall, Maverick, Wonderland, Orient Heights via Waldemar, Maverick via Jeffries Point, Eagle Square, Wood Island, Bowdoin",8
MUL-119,"Braintree, Ashmont, Alewife, Avenue Louis Pasteur (Limited Stops), Beth Israel (Limited Stops), Andrew (Limited Stops), City Point via South Bay Center, Arlington via South Bay Center, Forest Hills via South Bay Center, Andrew via South Bay Center, Fields Corner, Andrew, Logan Airport via Andrew",13
MUL-116,"Malden, Airport, Sullivan, Lebanon Loop, Wellington, Linden Square, Kennedy Dr, Jack Satter House, Saugus Center via Square One Mall, Malden via Square One Mall, Melrose Highlands via Oak Grove, Malden via Oak Grove, Reading Depot",13
MUL-129,"Dedham Mall, Walpole Center via Washington St, Georgetowne, Cleary Square",4
PRE-110,"Oak Grove, South Station, Andrew via South Bay Center, Forest Hills, Back Bay, Nubian, Needham Heights, Forest Hills via South Bay Center, Ashmont, Mattapan, Wolcott Square, Dedham Mall, Walpole Center via Washington St, VA Hospital, Baker & Vermont St, Wren St, Georgetowne, Cleary Square, Reservoir",19
bpl-roxbury-V2,"Nubian, South Station, Downtown, Harvard, Harbor Point via South Bay Center, Kenmore via South Bay Center, Kenmore, Central Square, Broadway, Logan Airport via Andrew",10
PRE-176,"Boston College, Cleveland Circle, Riverside, Harbor Point via South Bay Center, Fields Corner, Watertown Yard, Chestnut Hill Mall, Brighton Center, Government Center, Union Square, Kenmore via South Bay Center, Kenmore",12
MUL-108-V2,"North Station, Sullivan, Sullivan via Navy Yard, Central Square via Cliftondale, Haymarket via Cliftondale, Oaklandvale via Cliftondale (Express), Haymarket via Cliftondale (Express), Salem Depot, Haymarket",9
MUL-144,"City Point, Copley, Chauncy & Summer, Central Square, Broadway",5
TPS-120,"South Station, Worcester",2
PRE-193,"Wonderland, Bowdoin, Oak Grove, Forest Hills",4
TPS-110,"Market Place Dr, University Park",2
MUL-149,"Alewife, Government Center, Union Square, Medford/Tufts, Braintree, Ashmont, Boston College, Cleveland Circle, Riverside, Heath Street",10
MUL-115,"Woodland Rd, Malden, Sullivan, Wellington, Redstone, Forest Hills, Oak Grove, Haverhill, North Station, Airport, Lebanon Loop, Linden Square, Melrose Highlands via Oak Grove, Malden via Oak Grove, Reading Depot, Kennedy Dr, Jack Satter House, Saugus Center via Square One Mall, Malden via Square One Mall",19
MUL-139,"Columbian Square, Montello, South Shore Plaza, Braintree, Quincy Center",5
TPS-112,"Riverside, Union Square, Brighton Center, Kenmore, Nubian via Allston",5
TPS-127,"Sullivan via Navy Yard, Sullivan, Haymarket via Sullivan, Downtown",4
MUL-142,"Bedford VA, Alewife, Turkey Hill via Arlington Center, Alewife via Arlington Center, Lincoln Lab via Hanscom Airport, Lincoln Lab, Alewife via Hanscom Airport, North Burlington via Mall Rd, Alewife via Mall Rd, Braintree, Ashmont",11
AndrewBusway2,"Alewife, Andrew (Limited Stops), Arlington via South Bay Center, Andrew via South Bay Center, Andrew, Braintree, Ashmont, Avenue Louis Pasteur (Limited Stops), Beth Israel (Limited Stops), City Point via South Bay Center, Forest Hills via South Bay Center, Fields Corner, Logan Airport via Andrew",13
TPS-125,"North Station, Wachusett",2
PRE-177,"Boston College, Cleveland Circle, Riverside, Harbor Point via South Bay Center, Fields Corner, Watertown Yard, Chestnut Hill Mall, Brighton Center, Government Center, Union Square, Kenmore via South Bay Center, Kenmore",12
TPS-102,"Braintree, Ashmont, Alewife, Arlington Center, Clarendon Hill, Sullivan, Davis, Assembly, Medford Square, Lechmere, Harvard",11
PRE-170,"Boston College, Cleveland Circle, Riverside, Heath Street, Government Center, Union Square, Medford/Tufts",7
MUL-130,"Mattapan, Forest Hills, Dedham Mall, Walpole Center via Washington St, VA Hospital, Baker & Vermont St, Wren St, Back Bay, Georgetowne, Cleary Square, Reservoir, Forest Hills via South Bay Center, Andrew via South Bay Center, Ashmont, Wolcott Square, Nubian",16
PRE-199,"Oak Grove, Union Square, Medford/Tufts, North Station, Forest Hills, Riverside, Heath Street, Wachusett, Haverhill, Lowell, Newburyport, Rockport",12
PRE-160,"Government Center, Union Square, Medford/Tufts, Braintree, Ashmont, Alewife, Mattapan, Forest Hills, Oak Grove, Boston College, Cleveland Circle, Riverside, Heath Street, Bowdoin, Wonderland, Logan Airport, South Station, Design Center, Chelsea, Nubian, Downtown, Silver Line Way, Readville, Fall River, New Bedford, Wachusett, North Station, Worcester, Forge Park/495, Foxboro, Winthrop Loop, Quincy Loop, Greenbush, Haverhill, Kingston, Lowell, Needham Heights, Newburyport, Rockport, Wickford Junction, Stoughton, Providence, Hyannis, Charlestown Navy Yard, Long Wharf, Hingham, Rowes Wharf, Hingham via Logan Airport & Hull, Hingham via Hull, Long Wharf via Hull & Logan Airport, Long Wharf via Hull & Georges Island, Lewis Mall Wharf, Blossom Street Pier, Winthrop/Quincy Loop, Avenue Louis Pasteur (Limited Stops), Beth Israel (Limited Stops), Andrew (Limited Stops), Harvard, North Station via South Station, Design Center via South Station, Otis & Summer, Harbor Point via South Bay Center, Kenmore via South Bay Center, City Point, Copley, City Point via South Bay Center, Arlington via South Bay Center, Chauncy & Summer, Roslindale Square, Heath St, Fields Corner, Ruggles, Forest Hills via South Bay Center, Andrew via South Bay Center, Andrew, Kenmore, Wakefield Ave, Ashmont via Washington St, Gallivan Blvd via Norfolk St, Mattapan via Franklin Field, Jackson Square via Franklin Field, Wolcott Square, River St & Milton St, Dedham Mall, Walpole Center via Washington St, VA Hospital, Baker & Vermont St, Wren St, Back Bay, Georgetowne, Centre St & Eliot St, JFK/UMass, Park St & Tremont St, Jackson Square, Franklin Park, Central Square, Broadway, Cleary Square, Reservoir, Watertown Yard, West Fenway, Arlington, Needham Junction via Needham St, Watertown Square via Needham St, Chestnut Hill Mall, North Waltham, Waltham Center, Bedford VA, Oak Square, Kendall/MIT, Brighton Center, Harvard via Allston, Nubian via Allston, Turkey Hill via Arlington Center, Alewife via Arlington Center, Lechmere, Market Place Dr, University Park, Watertown Square, Waverley, Belmont Center, Lincoln Lab via Hanscom Airport, Lincoln Lab, Alewife via Hanscom Airport, Arlington Heights, Arlmont Village, Arlington Center, Rindge Ave, Assembly, Clarendon Hill, Davis, Sullivan, Haymarket via Sullivan, Sullivan via Navy Yard, Medford Square, West Medford, Malden, Wellington, Woodland Rd, Elm St, Airport, Lebanon Loop, Linden Square, Linden Square via Sullivan, Harvard via Sullivan, Woodlawn, Haymarket, Wellington via Admiral's Hill & Market Basket, Wood Island via Market Basket & Admiral's Hill, Mystic Mall, Maverick, Northgate, Northgate via Tomasello Way, Beachmont, Beachmont via Tomasello Way, Orient Heights via Waldemar, Maverick via Jeffries Point, Eagle Square, Wood Island, Melrose Highlands via Oak Grove, Malden via Oak Grove, Redstone, Reading Depot, Logan Airport via Andrew, Fields Corner via Adams St, Keystone Apts via Adams St, Fields Corner via Neponset Ave, Quincy Center, Squantum, Houghs Neck via Germantown, Quincy Center via North Quincy, Ashmont via North Quincy, Hingham Depot via Shipyard, Quincy Center via Shipyard, Washington St & Pleasant St Weymouth, East Weymouth, Weymouth Landing via Quincy Ave, Weymouth Landing via Southern Artery, Quincy Center via Southern Artery, Quincy Center via Quincy Ave, Columbian Square, Montello, South Shore Plaza, Holbrook/Randolph, Avon Square, Holbrook/Randolph via Crawford Square, North Burlington via Mall Rd, Alewife via Mall Rd, Bedford Woods Dr via EMD Serono, Bedford Woods Dr, Third Ave, Third Ave via EMD Serono, Burlington (Express) via Woburn, Burlington via Medford Square, West Cummings & Woburn (Express), Boston (Express) via Woburn, Kennedy Dr, Jack Satter House, Eastern & Essex via Western Ave, Central Square via Cliftondale, Haymarket via Cliftondale, Oaklandvale via Cliftondale (Express), Haymarket via Cliftondale (Express), Northgate Shopping Center via Square One Mall, Central Square via Square One Mall, Saugus Center via Square One Mall, Malden via Square One Mall, Salem Depot, Neptune Towers, Liberty Tree via North Shore Mall & Lynnfield St, Central Square via Malls & Lynnfield St, Nahant, Nahant via Central Square, Wonderland via Central Square, Marblehead via Central Square & Paradise Rd, Wonderland via Paradise Rd & Central Square, Ocean St via Central Square, Marblehead via Central Square & Humphrey St, Wonderland via Central Square & Humphrey St, North Beverly via Tozer Rd, North Beverly via Cabot St, Salem Depot via Cabot St, Salem Depot via Tozer Rd & Cummings, Salem Depot via Central Square, Brighton via Copley (Express), Downtown via Copley (Express), Downtown via Cambridge St and Copley (Express), Watertown via Copley and Newton Corner (Express), Waltham (Express), Downtown (Express), Roberts, Newton Corner, Waltham Highlands, Point Shirley, Winthrop Beach, Orient Heights, Hull Ferry, Hingham Depot, Canton Village Shoppes, Forge Park/495 (Shuttle), Canton Junction (Shuttle)",240
PRE-201,"Oak Grove, Union Square, Medford/Tufts, North Station, Forest Hills, Riverside, Heath Street, Wachusett, Haverhill, Lowell, Newburyport, Rockport",12
Audio-Ruggles,,0
PRE-190,"Forest Hills, Oak Grove, Wonderland, Bowdoin",4
MUL-132,"Ruggles, Davis, Central Square, Linden Square via Sullivan, Harvard via Sullivan, Assembly, Haymarket via Sullivan, Downtown, Arlington Center, West Medford, Malden",11
PRE-153,"Boston College, Cleveland Circle, Riverside, Heath Street, Braintree, Ashmont, Alewife, Mattapan, Forest Hills, Oak Grove, Government Center, Union Square, Medford/Tufts, Bowdoin, Wonderland, Logan Airport, South Station, Design Center, Chelsea, Nubian, Downtown, Silver Line Way, Readville, Fall River, New Bedford, Wachusett, North Station, Worcester, Forge Park/495, Foxboro, Winthrop Loop, Quincy Loop, Greenbush, Haverhill, Kingston, Lowell, Needham Heights, Newburyport, Rockport, Wickford Junction, Stoughton, Providence, Hyannis, Charlestown Navy Yard, Long Wharf, Hingham, Rowes Wharf, Hingham via Logan Airport & Hull, Hingham via Hull, Long Wharf via Hull & Logan Airport, Long Wharf via Hull & Georges Island, Lewis Mall Wharf, Blossom Street Pier, Winthrop/Quincy Loop, Avenue Louis Pasteur (Limited Stops), Beth Israel (Limited Stops), Andrew (Limited Stops), Harvard, North Station via South Station, Design Center via South Station, Otis & Summer, Harbor Point via South Bay Center, Kenmore via South Bay Center, City Point, Copley, City Point via South Bay Center, Arlington via South Bay Center, Chauncy & Summer, Roslindale Square, Heath St, Fields Corner, Ruggles, Forest Hills via South Bay Center, Andrew via South Bay Center, Andrew, Kenmore, Wakefield Ave, Ashmont via Washington St, Gallivan Blvd via Norfolk St, Mattapan via Franklin Field, Jackson Square via Franklin Field, Wolcott Square, River St & Milton St, Dedham Mall, Walpole Center via Washington St, VA Hospital, Baker & Vermont St, Wren St, Back Bay, Georgetowne, Centre St & Eliot St, JFK/UMass, Park St & Tremont St, Jackson Square, Franklin Park, Central Square, Broadway, Cleary Square, Reservoir, Watertown Yard, West Fenway, Arlington, Needham Junction via Needham St, Watertown Square via Needham St, Chestnut Hill Mall, North Waltham, Waltham Center, Bedford VA, Oak Square, Kendall/MIT, Brighton Center, Harvard via Allston, Nubian via Allston, Turkey Hill via Arlington Center, Alewife via Arlington Center, Lechmere, Market Place Dr, University Park, Watertown Square, Waverley, Belmont Center, Lincoln Lab via Hanscom Airport, Lincoln Lab, Alewife via Hanscom Airport, Arlington Heights, Arlmont Village, Arlington Center, Rindge Ave, Assembly, Clarendon Hill, Davis, Sullivan, Haymarket via Sullivan, Sullivan via Navy Yard, Medford Square, West Medford, Malden, Wellington, Woodland Rd, Elm St, Airport, Lebanon Loop, Linden Square, Linden Square via Sullivan, Harvard via Sullivan, Woodlawn, Haymarket, Wellington via Admiral's Hill & Market Basket, Wood Island via Market Basket & Admiral's Hill, Mystic Mall, Maverick, Northgate, Northgate via Tomasello Way, Beachmont, Beachmont via Tomasello Way, Orient Heights via Waldemar, Maverick via Jeffries Point, Eagle Square, Wood Island, Melrose Highlands via Oak Grove, Malden via Oak Grove, Redstone, Reading Depot, Logan Airport via Andrew, Fields Corner via Adams St, Keystone Apts via Adams St, Fields Corner via Neponset Ave, Quincy Center, Squantum, Houghs Neck via Germantown, Quincy Center via North Quincy, Ashmont via North Quincy, Hingham Depot via Shipyard, Quincy Center via Shipyard, Washington St & Pleasant St Weymouth, East Weymouth, Weymouth Landing via Quincy Ave, Weymouth Landing via Southern Artery, Quincy Center via Southern Artery, Quincy Center via Quincy Ave, Columbian Square, Montello, South Shore Plaza, Holbrook/Randolph, Avon Square, Holbrook/Randolph via Crawford Square, North Burlington via Mall Rd, Alewife via Mall Rd, Bedford Woods Dr via EMD Serono, Bedford Woods Dr, Third Ave, Third Ave via EMD Serono, Burlington (Express) via Woburn, Burlington via Medford Square, West Cummings & Woburn (Express), Boston (Express) via Woburn, Kennedy Dr, Jack Satter House, Eastern & Essex via Western Ave, Central Square via Cliftondale, Haymarket via Cliftondale, Oaklandvale via Cliftondale (Express), Haymarket via Cliftondale (Express), Northgate Shopping Center via Square One Mall, Central Square via Square One Mall, Saugus Center via Square One Mall, Malden via Square One Mall, Salem Depot, Neptune Towers, Liberty Tree via North Shore Mall & Lynnfield St, Central Square via Malls & Lynnfield St, Nahant, Nahant via Central Square, Wonderland via Central Square, Marblehead via Central Square & Paradise Rd, Wonderland via Paradise Rd & Central Square, Ocean St via Central Square, Marblehead via Central Square & Humphrey St, Wonderland via Central Square & Humphrey St, North Beverly via Tozer Rd, North Beverly via Cabot St, Salem Depot via Cabot St, Salem Depot via Tozer Rd & Cummings, Salem Depot via Central Square, Brighton via Copley (Express), Downtown via Copley (Express), Downtown via Cambridge St and Copley (Express), Watertown via Copley and Newton Corner (Express), Waltham (Express), Downtown (Express), Roberts, Newton Corner, Waltham Highlands, Point Shirley, Winthrop Beach, Orient Heights, Hull Ferry, Hingham Depot, Canton Village Shoppes, Forge Park/495 (Shuttle), Canton Junction (Shuttle)",240
PRE-189,"Bowdoin, Wonderland, Oak Grove, Forest Hills",4
Audio-Ashmont,"Ashmont, Alewife, Mattapan, Andrew, Forest Hills, Ruggles, Wakefield Ave, Ashmont via Washington St, Gallivan Blvd via Norfolk St, Quincy Center, Quincy Center via North Quincy, Ashmont via North Quincy, Avon Square, Holbrook/Randolph via Crawford Square",14
MUL-110,"Avenue Louis Pasteur (Limited Stops), Beth Israel (Limited Stops), Andrew (Limited Stops), Harbor Point via South Bay Center, Kenmore via South Bay Center, Fields Corner, Kenmore, Ashmont, Mattapan, Ruggles, Park St & Tremont St, Jackson Square, Franklin Park, Central Square, Broadway, Assembly, Forest Hills, Oak Grove, Forge Park/495, South Station, Needham Heights, Wickford Junction, Stoughton",23
MUL-133,"Wonderland, Wellington, Maverick, Malden, Wonderland via Central Square, Wonderland via Paradise Rd & Central Square, Wonderland via Central Square & Humphrey St, Bowdoin, Jack Satter House, Eastern & Essex via Western Ave, Nahant via Central Square, Marblehead via Central Square & Paradise Rd, Ocean St via Central Square, Marblehead via Central Square & Humphrey St, Salem Depot via Central Square",15
PRE-158,"Braintree, Ashmont, Harvard via Allston, Watertown Square, Waverley, Belmont Center, Arlington Heights, Arlmont Village, Harvard, Medford Square, Linden Square via Sullivan, Nubian, Nubian via Allston, Kendall/MIT, Lechmere, Reservoir, Harvard via Sullivan",17
TPS-105,"Fall River, New Bedford, South Station, Holbrook/Randolph, Quincy Center, Holbrook/Randolph via Crawford Square, Ashmont, Avon Square",8
MUL-123,"Forest Hills, Roslindale Square, Ashmont, Mattapan via Franklin Field, Mattapan, Centre St & Eliot St, Jackson Square, Oak Grove, Heath St, Ruggles, Jackson Square via Franklin Field, JFK/UMass",12
MUL-126,"Nubian, Wolcott Square, Oak Grove, South Station, Andrew via South Bay Center, Forest Hills, Back Bay, Needham Heights, Forest Hills via South Bay Center, Ashmont, Mattapan, Dedham Mall, Walpole Center via Washington St, VA Hospital, Baker & Vermont St, Wren St, Georgetowne, Cleary Square, Reservoir",19
TPS-116,"Oak Grove, Forest Hills, Union Square, Medford/Tufts, Riverside, Heath Street, Wonderland",7
MUL-146,"Wakefield Ave, Ashmont, Mattapan, Forest Hills, River St & Milton St, Quincy Center, Canton Village Shoppes, Ruggles, Mattapan via Franklin Field, Jackson Square via Franklin Field",10
TPS-123,"North Station, Wachusett",2
PRE-102,"Government Center, Union Square, Medford/Tufts, Wonderland, Boston College, Cleveland Circle, Riverside, Heath Street, Bowdoin",9
TPS-122,"Ashmont, Fall River, New Bedford, South Station, Holbrook/Randolph, Quincy Center, Holbrook/Randolph via Crawford Square",7
MUL-101,"Alewife, Mattapan, Ashmont, Andrew, Forest Hills, Ruggles, Wakefield Ave, Ashmont via Washington St, Gallivan Blvd via Norfolk St, Quincy Center, Quincy Center via North Quincy, Ashmont via North Quincy, Avon Square, Holbrook/Randolph via Crawford Square",14
bpl-adams-street-V2,"Alewife, Mattapan, Ashmont, Andrew, Forest Hills, Ruggles, Wakefield Ave, Ashmont via Washington St, Gallivan Blvd via Norfolk St, Quincy Center, Quincy Center via North Quincy, Ashmont via North Quincy, Avon Square, Holbrook/Randolph via Crawford Square, Fields Corner via Adams St, Keystone Apts via Adams St",16
MUL-112-V2,"Bowdoin, Wonderland, Wellington, Maverick, Jack Satter House, Malden, Eastern & Essex via Western Ave, Nahant via Central Square, Wonderland via Central Square, Marblehead via Central Square & Paradise Rd, Wonderland via Paradise Rd & Central Square, Ocean St via Central Square, Marblehead via Central Square & Humphrey St, Wonderland via Central Square & Humphrey St, Salem Depot via Central Square",15
